,Symbol,short_name,industry
0,VTO,VITACO,Hàng & Dịch vụ Công nghiệp
1,VRE,Vincom Retail,Bất động sản
2,VPG,Đầu tư TMại XNK Việt Phát,Tài nguyên Cơ bản
3,VNL,Vinalink Logistics,Hàng & Dịch vụ Công nghiệp
4,VNG,DL Thành Thành Công,Du lịch và Giải trí
5,VNE,Xây dựng điện Việt Nam,Xây dựng và Vật liệu
6,VJC,Vietjet Air,Du lịch và Giải trí
7,VIB,VIBBank,Ngân hàng
8,VHC,Thủy sản Vĩnh Hoàn,Thực phẩm và đồ uống
9,VCI,Chứng khoán Vietcap,Dịch vụ tài chính
10,VCB,Vietcombank,Ngân hàng
11,TVT,May Việt Thắng,Hàng cá nhân & Gia dụng
12,TVS,Chứng khoán Thiên Việt,Dịch vụ tài chính
13,TV2,Tư vấn XD Điện 2,Hàng & Dịch vụ Công nghiệp
14,TTF,Gỗ Trường Thành,Tài nguyên Cơ bản
15,TSC,Kỹ thuật NN Cần Thơ,Hóa chất
16,TMS,Transimex,Hàng & Dịch vụ Công nghiệp
17,TLG,Tập đoàn Thiên Long,Hàng cá nhân & Gia dụng
18,TLD,ĐT XD và PT Đô thị Thăng Long,Bất động sản
19,THG,XD Tiền Giang,Xây dựng và Vật liệu
20,TDW,Cấp nước Thủ Đức,"Điện, nước & xăng dầu khí đốt"
21,TDG,Đầu tư TDG Global,"Điện, nước & xăng dầu khí đốt"
22,TDC,Becamex TDC,Bất động sản
23,TCM,Dệt may Thành Công,Hàng cá nhân & Gia dụng
24,TCL,Tan Cang Logistics,Hàng & Dịch vụ Công nghiệp
25,TCH,ĐT DV Tài chính Hoàng Huy,Bất động sản
26,TCB,Techcombank,Ngân hàng
27,STK,Sợi Thế Kỷ,Hàng cá nhân & Gia dụng
28,STB,Sacombank,Ngân hàng
29,SSI,Chứng khoán SSI,Dịch vụ tài chính
30,SCS,DV Hàng hóa Sài Gòn,Du lịch và Giải trí
31,SCR,TTC Land,Bất động sản
32,SAB,SABECO,Thực phẩm và đồ uống
33,QCG,Quốc Cường Gia Lai,Bất động sản
34,PVT,Vận tải Dầu khí PVTrans,Hàng & Dịch vụ Công nghiệp
35,PTL,Victory Capital,Bất động sản
36,PTC,Đầu tư ICAPITAL,Xây dựng và Vật liệu
37,PTB,Công ty Cổ phần Phú Tài,Tài nguyên Cơ bản
38,POW,Điện lực Dầu khí Việt Nam,"Điện, nước & xăng dầu khí đốt"
39,PGD,PV GAS D,"Điện, nước & xăng dầu khí đốt"
40,PGC,Gas Petrolimex,"Điện, nước & xăng dầu khí đốt"
41,PC1,Tập đoàn PC1,Xây dựng và Vật liệu
42,OGC,Tập đoàn Đại Dương,Dịch vụ tài chính
43,NTL,Đô thị Từ Liêm,Bất động sản
44,NLG,BĐS Nam Long,Bất động sản
45,NCT,DV Hàng hóa Nội Bài,Hàng & Dịch vụ Công nghiệp
46,NAF,Nafoods Group,Thực phẩm và đồ uống
47,MSB,MSB Bank,Ngân hàng
48,MCP,In và Bao bì Mỹ Châu,Hàng & Dịch vụ Công nghiệp
49,MBB,MBBank,Ngân hàng
50,LSS,Mía đường Lam Sơn,Thực phẩm và đồ uống
51,LPB,LPBank,Ngân hàng
52,LIX,Bột Giặt Lix,Hàng cá nhân & Gia dụng
53,LHG,KCN Long Hậu,Bất động sản
54,LCG,LIZEN,Xây dựng và Vật liệu
55,KOS,Công ty KOSY,Bất động sản
56,KHP,Điện lực Khánh Hòa,"Điện, nước & xăng dầu khí đốt"
57,KDC,Tập đoàn KIDO,Thực phẩm và đồ uống
58,KBC,TCT Đô thị Kinh Bắc,Bất động sản
59,JVC,Đầu tư và Phát triển Y tế Việt Nhật,Y tế
60,IJC,Becamex IJC,Bất động sản
61,HVH,Đầu tư và Công nghệ HVC,Xây dựng và Vật liệu
62,HUB,Xây lắp Huế,Xây dựng và Vật liệu
63,HTI,PT Hạ tầng IDICO,Xây dựng và Vật liệu
64,HSL,Thực phẩm Hồng Hà,Thực phẩm và đồ uống
65,HSG,Tập đoàn Hoa Sen,Tài nguyên Cơ bản
66,HQC,Địa ốc Hoàng Quân,Bất động sản
67,HPG,Hòa Phát,Tài nguyên Cơ bản
68,HID,Halcom Vietnam,Xây dựng và Vật liệu
69,HDC,Phát triển Nhà BR-VT,Bất động sản
70,HDB,HDBank,Ngân hàng
71,HAX,Ô tô Hàng Xanh,Ô tô và phụ tùng
72,GMD,Gemadept,Hàng & Dịch vụ Công nghiệp
73,GIL,XNK Bình Thạnh,Hàng cá nhân & Gia dụng
74,GEG,Điện Gia Lai,"Điện, nước & xăng dầu khí đốt"
75,GDT,Gỗ Đức Thành,Hàng cá nhân & Gia dụng
76,FTS,Chứng khoán FPT,Dịch vụ tài chính
77,ELC,ELCOM,Công nghệ Thông tin
78,DXG,Địa ốc Đất Xanh,Bất động sản
79,DVP,ĐT và PT Cảng Đình Vũ,Hàng & Dịch vụ Công nghiệp
80,DQC,Tập đoàn Điện Quang,Hàng cá nhân & Gia dụng
81,DPR,Cao su Đồng Phú,Hóa chất
82,DPG,Tập đoàn Đạt Phương,Xây dựng và Vật liệu
83,DGC,Hóa chất Đức Giang,Hóa chất
84,DCL,Dược phẩm Cửu Long,Y tế
85,DC4,Xây dựng DIC Holdings,Xây dựng và Vật liệu
86,CTS,Chứng khoán Vietinbank,Dịch vụ tài chính
87,CTI,Cường Thuận IDICO,Xây dựng và Vật liệu
88,CTG,VietinBank,Ngân hàng
89,CTD,Xây dựng Coteccons,Xây dựng và Vật liệu
90,CSM,Cao su Miền Nam,Ô tô và phụ tùng
91,CNG,CNG Việt Nam,"Điện, nước & xăng dầu khí đốt"
92,CMV,Thương nghiệp Cà Mau,Bán lẻ
93,CLL,Cảng Cát Lái,Hàng & Dịch vụ Công nghiệp
94,CCL,ĐT & PT Đô thị Dầu khí Cửu Long,Bất động sản
95,C47,Xây dựng 47,Xây dựng và Vật liệu
96,BWE,Nước - Môi trường Bình Dương,"Điện, nước & xăng dầu khí đốt"
97,BVH,Tập đoàn Bảo Việt,Bảo hiểm
98,BMP,Nhựa Bình Minh,Xây dựng và Vật liệu
99,BMI,Bảo hiểm Bảo Minh,Bảo hiểm
100,BMC,Khoáng sản Bình Định,Tài nguyên Cơ bản
101,BKG,Đầu tư BKG Việt Nam,Hàng cá nhân & Gia dụng
102,BIC,Bảo hiểm BIDV,Bảo hiểm
103,AST,Dịch vụ Hàng không Taseco,Bán lẻ
104,ASP,Dầu khí An Pha,"Điện, nước & xăng dầu khí đốt"
105,ASM,Tập đoàn Sao Mai,Thực phẩm và đồ uống
106,APG,Chứng khoán APG,Dịch vụ tài chính
107,ANV,Thủy sản Nam Việt,Thực phẩm và đồ uống
108,AGR,Agriseco,Dịch vụ tài chính
109,AGM,XNK An Giang,Thực phẩm và đồ uống
110,ADS,Dệt sợi DAMSAN,Hàng cá nhân & Gia dụng
111,ACL,Thủy sản CL An Giang,Thực phẩm và đồ uống
112,ACC,Đầu tư và XD Bình Dương ACC,Xây dựng và Vật liệu
